channel_id,tags,channel_title,profile_picture,list_id,view_count
UC2kTxtKTvONH-MM7UqZDxUw,"[Só na Conversa,React,Cozy,Jogos Comfy,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,Roblox]",faithvampire,https://yt3.ggpht.com/UvNNhsZFOoO3-nDVm8fo-VIC3g82QE1GikuO3BU2CJ0oqvLfxcJ6XXi0E2x20n2gbU9xcehrkQ=s240-c-k-c0x00ffffff-no-rj,UU2kTxtKTvONH-MM7UqZDxUw,1063
UC30WoYb2ilmHb018QCSa8wA,"[Só na Conversa,React,Minecraft,Roblox,Arte]",Yukah Rakugaki,https://yt3.ggpht.com/4jQlq7Xz6hHrhIaRWmgSOw6J7U0x2073WPtSVuquQCEG4kf3y5fl0LHOZzMmDO3H71Kk6k0cXQ=s240-c-k-c0x00ffffff-no-rj,UU30WoYb2ilmHb018QCSa8wA,70047
UC3EdQDxTdfsSmWOZTzcJveg,"[Só na Conversa,Opinião,React]",YMIY__,https://yt3.ggpht.com/uy_JH-NXKleW49zzlCSeoipN5yDQVGNpzxNliM4ivJ5pLJdtq5oXDJ1mG0EGC7YYrV9UFArS=s240-c-k-c0x00ffffff-no-rj,UU3EdQDxTdfsSmWOZTzcJveg,158446
UC3XMVZ9yG053GYSWuy-mOUQ,"[Só na Conversa,Opinião,React,Roleplay,Adulto,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,Roblox,VRChat,Karaoke,ASMR]",Ani_Lord,https://yt3.ggpht.com/eVaBm5tWgptCetWLBll5_b1MiKBbRxUWrvEb3ES68kPdS_U1WMnmM2_QIy_erbzbqk3Q5G1e=s240-c-k-c0x00ffffff-no-rj,UU3XMVZ9yG053GYSWuy-mOUQ,171141
UC53fvEatrohlEXld7af2PTQ,"[React,Jogos Indies,Minecraft,Arte]",Lycan Ch.,https://yt3.ggpht.com/E0CYxCaAtppzSN44f-lU_BUxb2WZSB3_Sz9rzhj93gU1X05UPeCaicfLCVuea0ZQsl5UAtoUXg=s240-c-k-c0x00ffffff-no-rj,UU53fvEatrohlEXld7af2PTQ,29202
UC5b1NSNqsEVG31xFDjprA5w,"[Só na Conversa,React,Jogos Comfy,Jogos Hardcore,Jogos Indies]",Riddle Snowcraft,https://yt3.ggpht.com/wmExW3XPRZyaKzk-WhK8xizpECuXFfnOpjHknNin9eBQVhANky8y-zET5aOEva0LHQRd1Rzfg9I=s240-c-k-c0x00ffffff-no-rj,UU5b1NSNqsEVG31xFDjprA5w,900936
UC5LIHZXqCjXK3vxjVmSc3Pg,"[Só na Conversa,React,Cozy,Adulto,Jogos Comfy,Jogos Hardcore,Jogos Indies,Jogos de Terror,Karaoke]",MayuyuVT,https://yt3.ggpht.com/hFrnxkQbXTrOo8oVNzV0Rh0omJA6CROLdvWw-nf70zOKFfFEC03m4vUwRMbjpHtIr_kkoynP9g=s240-c-k-c0x00ffffff-no-rj,UU5LIHZXqCjXK3vxjVmSc3Pg,798812
UC5Sj3_OtgUrtgW8Qs1irvIA,"[Só na Conversa,React,Jogos Competitivos,Jogos de Terror,Minecraft,Roblox]",LanciVTuber,https://yt3.ggpht.com/RR9f2hMzWYYzUZQ0TDIbFo9m8P6xRLIyxJOSeZmpkxhx2Y7MnBzT3wDg425j-mVNDONVPM4YVQ=s240-c-k-c0x00ffffff-no-rj,UU5Sj3_OtgUrtgW8Qs1irvIA,174048
UC6jGJYzmfvVbC3FLQqbOq5A,"[Só na Conversa,Opinião,Jogos Comfy,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,Roblox,Karaoke,Arte]",RoCkLoLoVe,https://yt3.ggpht.com/w2V5d2a2B_xGz_dMGFVGF3SFRnn63MYsmTwBMWqyRdX3CWpaFilNg_1EPGZzKG5uOmKLhaUkPA=s240-c-k-c0x00ffffff-no-rj,UU6jGJYzmfvVbC3FLQqbOq5A,13121
UC6Ryn6EBqNda6KxOPvWwVUQ,"[Só na Conversa,Jogos Comfy,Jogos Indies,VRChat,Arte]",Feneko Amy,https://yt3.ggpht.com/EA0LWCU5--s6VkuvoDbc8AMfn2P8F1AgzPhc_9qTWURJxhHJZkXnXhdVz3BcLucCH3U9VdCdEw=s240-c-k-c0x00ffffff-no-rj,UU6Ryn6EBqNda6KxOPvWwVUQ,871196
UC6S-votuimnTiOj1WupmeAg,"[Só na Conversa,React,Jogos Indies,Jogos de Terror,Minecraft]",Akyon,https://yt3.ggpht.com/24HMuB6Lzrrs7buaUOsF141uvtrCL-qKg1o6f7kDCnqFskZmZpF0TTDzpKEBqc3j28w_LMeOpA=s240-c-k-c0x00ffffff-no-rj,UU6S-votuimnTiOj1WupmeAg,54660
UC6Yx8VGs8dKdaRlE4zdiUUw,"[Só na Conversa,React,Cozy,Jogos Comfy,Jogos Indies]",It's Creammy,https://yt3.ggpht.com/aIpYy5z8gCO2DmJ_24yEC1uqChoI7mhXgg58LWolUDEnhIARo0eQ15cXwEXeaiKxykk2J1Ke6g=s240-c-k-c0x00ffffff-no-rj,UU6Yx8VGs8dKdaRlE4zdiUUw,80501
UC7lKKXRY00pHoTwM_MmNcnw,"[Só na Conversa,React,Roleplay,Cozy,Jogos Comfy,Jogos Hardcore,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,Roblox,VRChat,Karaoke,Arte]",KurarisuVT 🦊 VTUBER 🧡,https://yt3.ggpht.com/a2GbLwN4m-UVvuP0fdKwnRgF2nYEqU21yCgBHUqolDI1BetsOYe-7M4pVBebjxvMgxJxrQHIIg=s240-c-k-c0x00ffffff-no-rj,UU7lKKXRY00pHoTwM_MmNcnw,8315
UC7vMs1L76oLuIxPBFdjOxGw,"[Jogos Indies,Jogos de Terror,Minecraft,Arte]",VirusGhost.mp4,https://yt3.ggpht.com/wXVONBF0WNun3ojcPkip8azg3k0uRInGgVypGLmsIa3XtR42jsWwOP6DwW66eaiXG6wZXYj-Xw=s240-c-k-c0x00ffffff-no-rj,UU7vMs1L76oLuIxPBFdjOxGw,124466
UC7WOUQJ3hwdcocHvyaYMvsQ,"[Cozy,Karaoke,Jogos Comfy,Só na Conversa,Jogos Indies,Arte]",kinoko,https://yt3.ggpht.com/n1BTEuOl17U8pTzJmFRkgl_ZCCE7GL1tbfc86T1cFw4c54vLcsGQry3j72a4VvcYmou-HpnzPqo=s240-c-k-c0x00ffffff-no-rj,UU7WOUQJ3hwdcocHvyaYMvsQ,607015
UC8MecbIgesuA31g4vEhWKIw,"[Só na Conversa,React,Jogos Competitivos,Jogos de Terror]",AloneKalli,https://yt3.ggpht.com/GoKT-HDap-uuADJ5CicgJQiKbLjN7NwKMMLhQxQUL_MZb3Ym0lg0ZYiVCwqhtmB2jzb3ZwPBwQ=s240-c-k-c0x00ffffff-no-rj,UU8MecbIgesuA31g4vEhWKIw,763512
UC8SbPtoY_3u4lWEYNdnj6OQ,"[Só na Conversa,React,Podcast,Roleplay,Cozy,Jogos Competitivos,Jogos Indies,Jogos de Terror]",Mushi 🌹🐍,https://yt3.ggpht.com/_70xvFxdrdUq-G6ZUAzI-PJx8JBxgXGoMNAg8RH8QNzxMZC9cU1DqrUz6oRvWnxYF4R-co3qMaQ=s240-c-k-c0x00ffffff-no-rj,UU8SbPtoY_3u4lWEYNdnj6OQ,87832
UC8yI8WFkoibnfbpbu9nCRLg,"[Só na Conversa,Jogos Comfy,Arte]",Cosmic Wolf,https://yt3.ggpht.com/FIoiamFn6Fz2Is6Q_vjjWgi_BYl3h8bu1Fx6q1zX1r350bouBF07vNdepE0w7yPVFNtLMsn_IQ=s240-c-k-c0x00ffffff-no-rj,UU8yI8WFkoibnfbpbu9nCRLg,57506
UC8Yx-nFRnmjd4hwvMpmCgEg,"[React,Só na Conversa,Jogos Hardcore,Jogos Competitivos,Jogos Indies,React]",Haruko Shima,https://yt3.ggpht.com/MhL9meQ_jMAMlNma3eOMa_UBaUWy8tFygj4e5MbQx2OYK6XKU7o1f9P2mdjGiadoa9SaJYoKDvI=s240-c-k-c0x00ffffff-no-rj,UU8Yx-nFRnmjd4hwvMpmCgEg,138434121
UCa-x8qDr3RHb0Zc0QLSr_Xg,"[Só na Conversa,React,Roleplay,Jogos Comfy,Jogos de Terror]",Nori,https://yt3.ggpht.com/ekKS-2pY2Fzly6czdDH3P9NFMxhoVShsBRJJisVWa51fXj-6zP3Spc67zKenIKOlJJ475kbpxQ=s240-c-k-c0x00ffffff-no-rj,UUa-x8qDr3RHb0Zc0QLSr_Xg,17622
UCagjBVuJU3-_CdB7JwmspEw,"[Só na Conversa,Opinião,React,Jogos Comfy,Jogos Competitivos,Jogos Indies,Jogos de Terror,Minecraft,Karaoke]",Fyoora,https://yt3.ggpht.com/4QIwRnnauIlkr6gQ0o_u9M9qq5DBa_GAdFB2DIQazwWf9GFcnOHrXQIlVqnkXtcBNOz5WXzbAQ=s240-c-k-c0x00ffffff-no-rj,UUagjBVuJU3-_CdB7JwmspEw,22509
UCbz5muOdO6R6_IECS8RDCUQ,"[Só na Conversa,React,Cozy,Jogos Comfy,Jogos Indies,Minecraft,Karaoke]",Neil L. Krampus,https://yt3.ggpht.com/1_fl8VMFzdACgvf_15CDKHxwTCNbvbsmkNZK0_Vu-egvHW3nfeU03QsaMpiaGHVbFBwRDFA0Nw=s240-c-k-c0x00ffffff-no-rj,UUbz5muOdO6R6_IECS8RDCUQ,82664
UCc1zCBhuOLQvvLqDy2Qk_Hw,"[React,Jogos Hardcore,Jogos Indies,VRChat]",Danilo Takagi,https://yt3.ggpht.com/zXYhT_RVtNZW-_EzkZG69YZzpSX_0hVSIib9Y9tPvuga1ULl_pDh8D9yX7WBD8HK4GQPIVFNDg=s240-c-k-c0x00ffffff-no-rj,UUc1zCBhuOLQvvLqDy2Qk_Hw,26031
UCcCWs-_jFbhrMa_2rnrN5Gw,"[Só na Conversa,Opinião,React,Jogos Comfy,Jogos Indies,Minecraft,VRChat]",Sylv,https://yt3.ggpht.com/nRB-SjpH1o7Re_Ue4T_qFWFyLnNe10QYHbfoPe0bP8Cfl0RzleY63xYnsYFMVOGLHBalG92wmw=s240-c-k-c0x00ffffff-no-rj,UUcCWs-_jFbhrMa_2rnrN5Gw,106944
UCcoqQ7Ty6G0w4REu46XPuEg,"[Só na Conversa,Cozy,Jogos Comfy,Jogos Competitivos]",Dominique Sozo,https://yt3.ggpht.com/gDRp8NhSuYY2Czm-j9HpXqF0ZMWSNVvlK8AoBod8msIQqTo9DsGXLiP9B_gzL2NWq3zi6Aunow=s240-c-k-c0x00ffffff-no-rj,UUcoqQ7Ty6G0w4REu46XPuEg,92967
UCcvYdXMY3s3jWAMYg_uQEbA,"[Só na Conversa,React,Jogos Indies,Jogos de Terror,Minecraft,Roblox,ASMR]",Primários Cientista,https://yt3.ggpht.com/krzrWkwPXs6oHXpWm0QYIFKruVUxqFOnEhSbdncQc6g2rZuEVgUEeJCpWpSODnyh27DFsBHE8yk=s240-c-k-c0x00ffffff-no-rj,UUcvYdXMY3s3jWAMYg_uQEbA,166622
